,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.81,0.26,0.25,613,Standing
2,0.84,0.18,0.46,653,Standing
3,0.7,0.19,0.57,693,Standing
4,0.7,0.14,0.7,733,Standing
5,0.66,0.07,0.86,775,Standing
6,0.46,0.16,0.89,816,Standing
7,0.62,0.08,0.94,856,Standing
8,0.39,0.11,0.96,896,Standing
9,0.4,0.09,0.89,937,Standing
10,0.36,0.11,0.83,978,Standing
11,0.29,0.11,0.86,1018,Standing
12,0.29,0.07,0.79,1058,Standing
13,0.25,0.05,0.88,1098,Standing
14,0.35,-0.04,0.94,1138,Standing
15,0.46,-0.09,0.99,1178,Standing
16,0.36,-0.09,1.05,1219,Standing
17,0.32,-0.07,0.97,1259,Standing
18,0.36,-0.03,1.01,1300,Standing
19,0.33,0.0,0.98,1340,Standing
20,0.36,0.03,1.0,1381,Standing
21,0.32,0.05,0.88,1421,Standing
22,0.34,0.05,0.95,1461,Standing
23,0.3,0.09,0.93,1501,Standing
24,0.36,0.08,0.93,1541,Standing
25,0.26,0.09,0.93,1581,Standing
26,0.3,0.12,0.94,1623,Standing
27,0.34,0.09,0.96,1664,Standing
28,0.29,0.14,0.95,1705,Standing
29,0.28,0.09,0.94,1745,Standing
30,0.25,0.16,0.94,1785,Standing
31,0.23,0.13,0.95,1826,Standing
32,0.23,0.16,0.93,1866,Standing
33,0.27,0.15,0.95,1906,Standing
34,0.24,0.16,0.96,1947,Standing
35,0.24,0.16,0.94,1987,Standing
36,0.26,0.16,0.96,2027,Standing
37,0.22,0.18,0.95,2067,Standing
38,0.27,0.17,0.94,2108,Standing
39,0.28,0.19,0.98,2148,Standing
40,0.2,0.19,0.96,2188,Standing
41,0.28,0.19,0.96,2228,Standing
42,0.23,0.19,0.96,2269,Standing
43,0.22,0.18,0.95,2309,Standing
44,0.21,0.2,0.95,2349,Standing
45,0.22,0.19,0.94,2390,Standing
46,0.22,0.19,0.94,2430,Standing
47,0.23,0.18,0.95,2470,Standing
48,0.24,0.2,0.95,2510,Standing
49,0.21,0.19,0.95,2551,Standing
50,0.22,0.2,0.97,2591,Standing
51,0.21,0.21,0.95,2631,Standing
52,0.21,0.18,0.95,2671,Standing
53,0.21,0.2,0.94,2711,Standing
54,0.22,0.19,0.95,2752,Standing
55,0.21,0.21,0.94,2792,Standing
56,0.25,0.2,0.95,2832,Standing
57,0.21,0.21,0.95,2873,Standing
58,0.26,0.18,0.98,2913,Standing
59,0.2,0.16,0.97,2953,Standing
60,0.24,0.16,0.96,2993,Standing
61,0.22,0.16,0.98,3034,Standing
62,0.25,0.18,0.96,3074,Standing
63,0.26,0.16,0.98,3116,Standing
64,0.24,0.21,0.94,3156,Standing
65,0.25,0.18,0.96,3196,Standing
66,0.22,0.18,0.95,3236,Standing
67,0.24,0.18,0.95,3276,Standing
68,0.22,0.17,0.93,3317,Standing
69,0.22,0.17,0.93,3357,Standing
70,0.22,0.18,0.91,3397,Standing
71,0.18,0.15,0.84,3438,Standing
72,0.13,0.06,0.75,3478,Standing
73,0.05,0.04,0.63,3518,Standing
74,0.29,-0.0,0.64,3558,Standing
75,0.26,-0.02,0.6,3598,Standing
76,0.33,0.05,0.58,3639,Standing
77,0.69,-0.04,0.63,3679,Standing
